SN,Date,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total.Afl,Source
39,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG013CM,,,NA,NA,NA,NA,1.5,AgResults Control Samples
50,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG014CM,,,NA,NA,NA,NA,1.3,Tukuyan Gwari - Kaduna State
40,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG014CM,,,NA,NA,NA,NA,1.3,AgResults Control Samples
51,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG015CM,,,NA,NA,NA,NA,1.3,Tukuyan Gwari - Kaduna State
41,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG015CM,,,NA,NA,NA,NA,1.3,AgResults Control Samples
52,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG016CM,,,NA,NA,NA,NA,1,Tukuyan Gwari - Kaduna State
42,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG016CM,,,NA,NA,NA,NA,1,AgResults Control Samples
53,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG017CM,,,NA,NA,NA,NA,1.6,Tukuyan Gwari - Kaduna State
43,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG017CM,,,NA,NA,NA,NA,1.6,AgResults Control Samples
54,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG018CM,,,NA,NA,NA,NA,0.3,Tukuyan Gwari - Kaduna State
44,,,2016,Kaduna,Giwa,Giwa,Galadima,11.2802,7.4179,Maize,ARTG018CM,,,NA,NA,NA,NA,0.3,AgResults Control Samples
