"SN","Date","AEZ1","Year","State","LGA","Location","Village","Lat","Long","Crop","Code","Type","Treatment","B1","B2","G1","G2","Total.Afl","Source"
75,"","",2016,"Enugu","Uzo-Uwani","Adani","Adani",6.7401,7.1359,"Maize","AREN003C","","",NA,NA,NA,NA,51.6,"AgResults Control Samples"
83,"","",2017,"Enugu","","Opi","",6.7703,7.43,"Maize","AREN004C","","",NA,NA,NA,NA,1.3,"CADP Enugu - Enugu State"
76,"","",2016,"Enugu","Nsukka","Opi","Opi",6.8429,7.3733,"Maize","AREN004C","","",NA,NA,NA,NA,1.3,"AgResults Control Samples"
84,"","",2017,"Enugu","","Opi","",6.7703,7.43,"Maize","AREN005C","","",NA,NA,NA,NA,1.8,"CADP Enugu - Enugu State"
77,"","",2016,"Enugu","Nsukka","Opi","Opi",6.8429,7.3733,"Maize","AREN005C","","",NA,NA,NA,NA,1.8,"AgResults Control Samples"
85,"","",2017,"Enugu","","Affa","",6.3167,7.4333,"Maize","AREN006C","","",NA,NA,NA,NA,0.5,"CADP Enugu - Enugu State"
78,"","",2016,"Enugu","Udi","Affa","Affa",6.4818,7.3949,"Maize","AREN006C","","",NA,NA,NA,NA,0.5,"AgResults Control Samples"
86,"","",2017,"Enugu","","Affa","",6.3167,7.4333,"Maize","AREN007C","","",NA,NA,NA,NA,0.9,"CADP Enugu - Enugu State"
79,"","",2016,"Enugu","Udi","Affa","Affa",6.4818,7.3949,"Maize","AREN007C","","",NA,NA,NA,NA,0.9,"AgResults Control Samples"
87,"","",2017,"Enugu","","Affa","",6.3167,7.4333,"Maize","AREN008C","","",NA,NA,NA,NA,0.5,"CADP Enugu - Enugu State"
80,"","",2016,"Enugu","Udi","Affa","Affa",6.4818,7.3949,"Maize","AREN008C","","",NA,NA,NA,NA,0.5,"AgResults Control Samples"
10,"","",2017,"Oyo","","Yarkasuwa","",10.3785,7.4481,"Maize","ARFF001C","","",NA,NA,NA,NA,1.4,"Fantsuam Foundation - Kaduna State"
58,"","",2016,"Kaduna","Lere","","Yarkasuwa",10.3853,8.5735,"Maize","ARFF001C","","",NA,NA,NA,NA,1.4,"AgResults Control Samples"
28,"","",2017,"Ekiti","","Ikole Ekiti","",7.7983,5.5145,"Maize","ARFP0752C","","",NA,NA,NA,NA,0.9,"Ado Poly Venture - Ekiti State"
