SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
820,01-Mar-12,,2012,Delta,Isoko South,,,5.4043,6.1951,Maize,DT1598M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
821,01-Mar-12,,2012,Delta,Ndokwa West,,,5.7368,6.3652,Maize,DT1599M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
822,01-Mar-12,,2012,Delta,Warri South,,,5.6609,5.6037,Maize,DT1600M,,,20.55,2.69,0,0,23.24,NAFDAC Market Survey Sample 2012
823,01-Mar-12,,2012,Delta,Ughelli North,,,5.6558,6.1103,Maize,DT1601M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
734,29-Feb-12,,2012,Edo,Etsako East,,,7.2627,6.4503,Maize,ED1467M,,,10.13,2.14,10.68,1.31,24.26,NAFDAC Market Survey Sample 2012
735,29-Feb-12,,2012,Edo,Akoko-Edo,,,7.3533,6.1103,Maize,ED1468M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
736,29-Feb-12,,2012,Edo,Akoko-Edo,,,7.3533,6.1103,Maize,ED1469M,,,12.32,2.54,0,0,14.86,NAFDAC Market Survey Sample 2012
737,29-Feb-12,,2012,Edo,Esan North-East,,,7.3533,6.1103,Maize,ED1470M,,,14.81,11.89,0,0,26.7,NAFDAC Market Survey Sample 2012
738,29-Feb-12,,2012,Edo,Etsako East,,,7.2627,6.4503,Maize,ED1471M,,,19.18,3.16,1.7,0,24.04,NAFDAC Market Survey Sample 2012
739,29-Feb-12,,2012,Edo,Esan South-East,,,6.6214,6.493,Maize,ED1472M,,,0.67,0,0,0,0.67,NAFDAC Market Survey Sample 2012
740,29-Feb-12,,2012,Edo,Etsako Central,,,7.0057,6.4503,Maize,ED1473M,,,2.45,1.37,0,0,3.82,NAFDAC Market Survey Sample 2012
741,29-Feb-12,,2012,Edo,Oredo,,,6.2298,5.5407,Maize,ED1474M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
